"范围","运行时ID","中文名","类型","稀有度","层数上限","每回合衰减","每次受击衰减","每次行动衰减","CanZero","实际效果","源表"
"常规状态","buff_limitdamage","限伤","特性","1","99999","0","0","0","是","本回合还可受到层数点({stack})的伤害。","buff.csv"
"常规状态","buff_reverie","空想","能力","3","1","0","0","0","否","每次受伤时，随机将一张稀有度2～3的技能牌加入手牌。","buff.csv"
"常规状态","buff_fate","天罚","能力","3","100","0","0","0","否","每次检定后，对所有敌人造成2点伤害。","buff.csv"
"常规状态","buff_degrade","失格","负面","3","6","1","0","0","否","每层降低10%({stack*0.1})伤害。","buff.csv"
"常规状态","buff_bloodsea","血海","能力","4","10","0","0","0","否","每次行动时,获得3倍层数{stack*3}层流血。","buff.csv"
"常规状态","buff_lifelink","同心","特性","4","9","1","0","0","否","拥有者之间的血量始终保持相同。","buff.csv"
"常规状态","buff_synergies","连携","能力","3","2","1","0","0","否","友方每有一个对象拥有此Buff，获得50%伤害加成。当前{0}。","buff.csv"
"常规状态","buff_DoomPower","厄运魔能","特性","4","9999","0","0","0","否","厄运魔能每次层数变动时获得层数点({1})永久最大生命值加成","buff.csv"
"常规状态","buff_revelation","神启","能力","1","999","0","0","0","否","增幅唤神卡的效果，当打出唤神卡时，层数+1，否则层数-1。","buff.csv"
"常规状态","buff_weakness","弱点","契印","4","1","999","0","0","否","每次受伤时提高10%受伤加深({ThisCount*0.1})。","buff.csv"
"常规状态","buff_Soul","灵魂","特性","4","9999","0","0","0","否","灵魂计数。","buff.csv"
"常规状态","buff_thorns","荆棘","能力","3","999","0","0","0","否","受到攻击时对所有敌对方造成层数({stack})点伤害。","buff.csv"
"常规状态","buff_biologicalArmor","生物装甲","能力","4","1","0","0","0","否","生命恢复超过上限时，获得溢出部分的护盾。","buff.csv"
"常规状态","buff_poised","蓄势","正面","3","999","0","0","0","否","受到任何来源的伤害时，叠加层数点({stack})反击。","buff.csv"
"常规状态","buff_swordIntent","剑意","能力","4","1","0","0","0","否","每次行动会使自身血量-1，每两次叠加1层蓄势。","buff.csv"
"常规状态","buff_elementalBody","元素身躯","能力","3","1","0","0","0","否","受到异常伤害时，会恢复最大生命值5%的血量。每回合最多触发3次。","buff.csv"
"常规状态","buff_BonePiercingSpike","透骨钉","契印","3","99","0","0","0","否","当前自身死亡时，将其流血层数翻倍转移给剩下的队友。","buff.csv"
"常规状态","buff_LilithsPact","莉莉丝契约","能力","3","1","1","0","0","否","直到回合结束，你不再因流血受到伤害。","buff.csv"
"常规状态","buff_GuleiSummoningArt","古蕾降神术","能力","3","99","99","0","0","否","本回合,当你打出唤神牌时,有(神启层数*4%)概率使下一张卡额外打出一次","buff.csv"
"常规状态","buff_RegenerationPrayer","再生祷言","能力","3","99","99","0","0","否","本回合,你每打出一张唤神牌,获得2点生命。","buff.csv"
"常规状态","buff_EnergyStorage","储能","能力","3","99","0","0","0","否","下回合恢复层数点({stack})能量,并移除此buff。","buff.csv"
"常规状态","buff_WailingWall","叹息之墙","特性","3","1","1","0","0","否","回合结束时，焚毁所有手牌。","buff.csv"
"常规状态","buff_ChaosMark","混沌标记","特性","3","1","0","0","0","否","每当自己的回合开始时，随机触发一种混沌效果，混沌效果包含以下可能：
1.受到最大生命值20%的真实伤害（不会致死），敌方全体受到最大生命值10%的真实伤害。
2.恢复最大生命值的30%。
3.额外抽2张牌失去1魔能。
4.获得随机层数（1~3）的流血或灼烧，所有敌方获得双倍。
5.自身当前所有状态层数*1.2。
6.获得100层超凡。
当前为({0})。","buff.csv"
"常规状态","buff_VowPower","愿力","能力","2","999","0","0","0","否","愿力计数","buff.csv"
"常规状态","buff_ritualbountymana","白银委托","能力","2","2","0","0","0","否","目标死亡时，所有人恢复2点能量并抽2张牌。","buff.csv"
"常规状态","buff_ritualbountygold","翠玉委托","能力","2","2","0","0","0","否","目标死亡时，所有人获得40金币。","buff.csv"
"常规状态","buff_ritualenlightenment","启迪之刻","能力","2","2","0","0","0","否","每消耗1次能量，超魔+1。超魔达到5后每3次额外抽1张牌。抽10张牌后结束此仪式。","buff.csv"
"常规状态","buff_ritualcourage","刀与盾","能力","2","2","0","0","0","否","每造成一点伤害，超魔+1。回合结束获得等同超魔的护盾并结束。","buff.csv"
"常规状态","buff_ritualasceticism","魔力回路","能力","2","2","0","0","0","否","回合结束每有一张手牌超魔+1。超魔>2时，下回合开始获得超魔/2能量并结束。","buff.csv"
"常规状态","buff_ritualoverload","大书库","能力","2","2","0","0","0","否","每打出一张牌超魔+1。超魔4时抽牌直到手牌上限并结束。","buff.csv"
"常规状态","buff_ritualcatalyst","阵列展开","能力","2","2","0","0","0","否","当你打出一张仪式牌时，获得超魔+1。 超魔3：回合开始时，所有仪式的超魔+1。","buff.csv"
"常规状态","buff_ritualechostaff","新月回响","能力","2","2","0","0","0","否","别的仪式的超魔效果额外触发一次。","buff.csv"
"常规状态","buff_ritualcycle","行星研究","能力","2","2","0","0","0","否","每打出一张仪式牌超魔+1。超魔达到4后，打出仪式时能量+1并抽1张牌。","buff.csv"
"常规状态","buff_ritualbloodsacrifice","降临者","能力","2","2","0","0","0","否","你打出的每张卡都会被焚毁。每焚毁一张牌超魔+1。超魔10时获得444层超凡并结束。","buff.csv"
"常规状态","buff_ritualsublimation","黄昏再临","能力","2","2","0","0","0","否","回合开始时，每有一个仪式超魔+1。超魔15时直接获得战斗胜利否则清空此仪式的超魔。","buff.csv"
"常规状态","buff_ritualpyre","培植红莲","能力","2","2","0","0","0","否","每打出三张带有灼烧的牌，额外触发一次灼烧。","buff.csv"
"常规状态","buff_ritualtimeprison","时空囚徒","能力","2","2","0","0","0","否","每有一层时停超魔+1。回合开始根据超魔从牌库抽取仪式牌。","buff.csv"
"常规状态","buff_ritualsolidify","凝滞魔能","能力","2","2","0","0","0","否","每保留一张牌超魔+1。回合开始清空超魔并获得等量能量。","buff.csv"
"常规状态","buff_resentment","怨念","契印","3","999","0","0","0","否","持有者回合开始时，每有1层怨念，持有者随机一种负面状态就增加1层。","buff.csv"
"常规状态","buff_ReturnAgain","复还","特性","2","100","0","0","0","否","『复还』层数上限100，具有如下效果：
复还大于等于20，回合结束时将最右侧1张卡牌变为带有复还词条的随机卡牌并附加保留（若目标卡牌本身带有复还，则不变化），大于等于40时，变形数量+1。
复还大于等于60，回合结束时不消耗魔能自动打出最左侧卡牌，大于等于80时，打出数量+1。
复还等于100，变形卡牌固定为【府邸坍圮】
复还大于等于50后，每10点复还会在回合结束时导致一张卡牌翻面并附加保留。","buff.csv"
"常规状态","buff_ReturnAgainDoubleNext","椭圆肖像","能力","2","99","0","0","0","否","本回合不再获取复还，下回合获取复还效果翻倍。","buff.csv"
"常规状态","buff_AllDharmas","万法","能力","2","99","0","0","0","否","每回合打出两张及以上不同素材时，将【法术序列】中的一张带有焚毁的卡牌加入你的手牌。（每回合最多添加10次）
每次进行进阶施法时，检定30：制造施法素材D：灰色寂灭。","buff.csv"
"常规状态","buff_SpellNextPower2Draw2","法术灵感","能力","2","10","0","0","0","否","下个自己的回合开始时恢复2点魔能并抽2张牌。","buff.csv"
"常规状态","buff_SpellNextClearImpregnable","坚毅散去","契印","2","1","0","0","0","否","下个自己的回合开始时失去全部坚毅。","buff.csv"
"常规状态","buff_ProfaneButterflyHymn","赞美诗","能力","4","1","999","0","0","否","仪式：回合结束时，若你的手牌中有7种不同的诅咒牌，获得胜利","buff.csv"
"战斗／敌人专属特性","SpecialBuff_Law:Judgment","认知遮蔽","特性","4","1","0","0","0","否","魔女每抽3张牌，便随机将其手牌中的1张牌翻面。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_Law:Death","律令:自毁","特性","4","8","1","0","0","否","若第8回合结束时，永夜化身仍在场上，则对魔女造成2次其最大生命值100%的真实伤害。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_Law:Supreme","液态身躯","特性","4","1","0","0","0","否","每3回合结束时，清除自身所有负面状态。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_Transcendent","庞然巨兽","特性","4","1","0","0","0","否","获得4点固定免伤、30%百分比免伤、30%伤害加成，且所有行动对魔女额外造成4点真实伤害。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_ImmortalGodhead","固化灵魂","特性","4","3","0","0","0","否","永夜化身初始拥有三层固化灵魂。固化灵魂层数大于1时，死亡时会立即满血复活并失去一层固化灵魂，且本回合不再受伤。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_expiation","惊喜！","特性","4","99","1","0","0","否","若在4回合内死亡，则对敌方造成15点真实伤害；否则，在4回合后自然死亡，并为敌方恢复15点生命值。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_ThievesKing","盗贼","特性","4","1","0","0","0","否","每次行动时，从魔女处偷取一定量({0})金币。在一定({1})回合开始时逃跑。若自身被击败，则返还此部分金币，魔女额外获得100金币。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_UnparalleledPower","戴冠者","特性","4","1","0","0","0","否","回合结束时，生命值减少25%，攻击力翻倍。最多执行2次。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_believer","梅花","特性","4","1","0","0","0","否","生命值首次低于50%时，将其完全恢复，并提升30%的攻击力与防御力。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_BackToBasics","返本归源","特性","4","1","0","0","0","否","奇数回合开始时，随机移除自身1个负面状态；偶数回合开始时，随机移除魔女1个正面状态。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_hunting","方片","特性","4","1","0","0","0","否","若魔女回合结束时手牌数量为偶数，则对魔女造成等同于自身攻击力的伤害。若为奇数，自身进行一次防御","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_AllogeneicConcentric","影魔身躯","特性","4","1","0","0","0","否","为所有友方单位添加标记。当一个友方单位死亡时，自身最大生命值提升50%，生命值恢复至全满，且攻击力与防御力提升50%。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_TrialsOfWisdom","魅魔之主","特性","4","1","0","0","0","否","每次造成伤害，临时降低对方随机本源属性一点。每次受到伤害，同个来源的伤害减少5%，行动时重置。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_meow","匣上黑猫","特性","4","1","0","0","0","否","战斗开始时。给与魔女重生70。复活后，此祝福失效。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_ManInTheMirror","镜中人","特性","4","1","0","0","0","否","若魔女在其回合中打出攻击牌，则自身在回合开始时会额外攻击一次；若魔女打出技能牌，则自身在回合开始时会额外防御一次。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_Phoenix","浴火","特性","4","1","0","0","0","否","奇数回合开始时，免疫灼烧伤害并移除坚毅，偶数回合开始时，获得8层坚毅。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_Snitch","自动人偶","特性","4","1","0","0","0","否","魔女打出技能牌时，进行一次检定：若检定值小于60，【自动机关人偶】立即触发一次“意图1”；否则，自身受到当前生命值10%的伤害。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_Priest","K","特性","4","1","0","0","0","否","魔女行动时，若其手牌中有2张或更多诅咒牌，【K】会对魔女攻击一次。自身每受到4次伤害，便将1张【虚无】洗入魔女的牌堆（最多6张）。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_Twins","不可饶恕!","特性","4","1","0","0","0","否","当一个友方单位死亡时，恢复50%生命值，获得2层【坚毅】、30层【超凡】和3层【荆棘】。此效果每场战斗最多触发一次。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_Musician","祭祀者","特性","4","1","0","0","0","否","魔女每累计打出5张牌，便弃掉所有手牌并抽取等量的牌。当魔女累计打出15张牌时，自身获得【混乱】。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_ThirstForBlood","黑桃","特性","4","1","0","0","0","否","战斗开始时，对自身施加1层【血海】，对魔女施加1层【血河】。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_BlessedByHeaven","半天使","特性","4","1","0","0","0","否","回合开始时，获得层数等同于最大生命值4%的【自愈】。最多7次。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_FortuneBoy","金矿","特性","4","1","0","0","0","否","受到普通伤害后，使攻击者获得5金币（最多10次）。受到真实伤害或者异常伤害时，恢复5%最大生命值，并使本效果的金币获取次数上限+1。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_Mimics","魔能矿","特性","4","1","0","0","0","否","受到普通伤害时，攻击者有50%的几率恢复1点魔能，50%的几率抽取1张牌。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_Restrain","抑制","特性","4","1","0","0","0","否","攻击时，使目标的治疗效果降低20%（不可叠加）。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_Irritable","易怒","特性","4","1","0","0","0","否","回合开始时，获得10层【超凡】。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_Hysteresis","迟滞","特性","4","1","0","0","0","否","回合开始时，将1张【虚无】加入魔女的手牌。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_CalamityIncarnates","灾祸化身","特性","4","1","1","0","0","否","获得等同于【厄运魔能】点数的临时魔力与临时感知，且每次行动对全体敌人额外造成自身最大生命值2%的伤害。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_GiantDollBear","巨大玩偶熊","特性","4","1","0","0","0","否","免疫【流血】。受到【灼烧】伤害时，会额外受到一次等量的真实伤害。被唤醒前不会行动。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_WitchCultists","魔女加护","特性","4","1","0","0","0","否","战斗开始时，随机获得5个Buff。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_Crow","报丧偈羽","特性","4","2","0","0","0","否","当魔女造成伤害时，对所有敌人额外造成一次5点真实伤害。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_fluster","渊默诅咒","特性","4","1","0","0","0","否","每受到3次伤害,丢弃攻击者1张卡牌。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_OriginalSin","魔王本相","特性","4","3","0","0","0","否","魔王每次死亡时会切换形态。同时该回合不再受到伤害。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_DragonScaleArmor","黑龙鳞甲","特性","4","1","0","0","0","否","魔王立即获得5层坚毅，每受伤4次再获得一层，自身回合开始时失去所有坚毅。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_SwordOfTheDemonKing","魔剑","特性","4","1","0","0","0","否","两把魔王之剑被破坏时，魔王会立即进入第二阶段。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_Demigod'sBody","奇美拉之血","特性","4","1","0","0","0","否","魔王在战斗开始时获得巨额护盾与8点固定免伤，每回合开始时获得30层超凡。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_EndlessDesire","罪业原体","特性","4","1","0","0","0","否","魔女每抽4次牌，失去一点能量，每花费4次魔能，丢弃一张牌。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_meowFamiliar","使魔猫猫","特性","4","2","1","0","0","否","使目标暂时变成使魔猫猫。效果结束后恢复原本形象。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_HolyJudgementEngine","审判机关","特性","4","1","0","0","0","否","魔女回合开始时随机切换命运时刻并触发对应效果。命运切换时对全场其他目标造成伤害并随机塞入2张诅咒牌。拥有3层结构护盾。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_HJE_FateJudgment","裁决之刻","特性","4","1","0","0","0","否","所有单位受到伤害+50%，且每次行动后承受其最大生命值1%的真实伤害。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_HJE_FateDawn","启明之刻","特性","4","1","0","0","0","否","魔女每次打出卡牌时支付6金币；若金币不足，则改为扣除等量生命上限。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_HJE_FateHolyMachine","圣械之刻","特性","4","1","0","0","0","否","全场单位每次受到伤害时，获得1层锋锐。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_HJE_AbsoluteShield","结构防护","特性","4","3","0","0","0","否","拥有结构绝对防护时，死亡时会立即复活并将身上的负面buff层数减半并失去一层结构护盾，且本回合不再受伤。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_CAR_Momentum","渐入佳境","特性","4","1","0","0","0","否","回合开始时获得20层超凡。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_CAR_HeroBlessing","勇者加护","特性","4","1","0","0","0","否","第一次死亡时复活并恢复全部生命并在本回合不再受伤。根据此前承受最多的伤害类型（直伤/真实/异常）获得60%对应免疫。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_CAR_Deadline","死线","特性","4","1","0","0","0","否","回合开始时向魔女手牌加入2张【直视死亡】。若魔女受到【圣剑：瑟兰提尔】伤害后手牌中【直视死亡】超过5张，则湮灭全部【直视死亡】并令魔女立即死亡。","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_Dragon'sBlood","龙血","特性","4","1","0","0","0","否","回合结束时，恢复已损生命值的50%并获得1层坚韧和20层超凡","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_DesireWitch","欲念","特性","4","1","0","0","0","否","每失去10%生命，获得30层超凡和3层坚毅。回合结束时失去所有超凡和坚毅","SpecialBuff.csv"
"战斗／敌人专属特性","SpecialBuff_Joker:King","鬼牌:大王","特性","4","1","0","0","0","否","回合开始时，给魔女的抽牌堆塞入一张假卡。战斗开始时额外塞两张。","SpecialBuff.csv"
