"Id","Rarity","Expend","Tag","InitScript","DrawScript","UseScript","DropScript","Icon","Effects","Action","PackBelong"
"唯一标识","稀有度","花费","标签","更新显示信息用的","卡牌抽到后执行","卡牌使用后执行","卡牌进入弃牌堆后执行","图标资源的路径","特效路径","动作","所属卡包"
"taoyuan_jieyi","3","2","Combo","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Init(self, ""taoyuan_jieyi"");","","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Use(self, ""taoyuan_jieyi"");","","Mods/SanGuoShaExp/ModResource/Images/桃园结义","","","SanGuoShaExp_sanguosha_cardpack_basic"
"wuxie_keji","3","0","Retain","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Init(self, ""wuxie_keji"");","","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Use(self, ""wuxie_keji"");","","Mods/SanGuoShaExp/ModResource/Images/无懈可击","","Attack","SanGuoShaExp_sanguosha_cardpack_basic"
"shandian","3","1","CheckDice,Retain","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Init(self, ""shandian"");","","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Use(self, ""shandian"");","","Mods/SanGuoShaExp/ModResource/Images/闪电","","Skill","SanGuoShaExp_sanguosha_cardpack_basic"
"wugu_fengdeng","2","1","军策","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Init(self, ""wugu_fengdeng"");","","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Use(self, ""wugu_fengdeng"");","","Mods/SanGuoShaExp/ModResource/Images/五谷丰登","","","SanGuoShaExp_sanguosha_cardpack_basic"
"huosha","1","1","Combo,Fission","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Init(self, ""huosha"");","","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Use(self, ""huosha"");","","Mods/SanGuoShaExp/ModResource/Images/杀","","Attack","SanGuoShaExp_sanguosha_cardpack_military"
"leisha","1","1","Combo,CheckDice,Fission","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Init(self, ""leisha"");","","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Use(self, ""leisha"");","","Mods/SanGuoShaExp/ModResource/Images/杀","","Attack","SanGuoShaExp_sanguosha_cardpack_military"
"tiesuo_lianhuan","2","1","Retain,Burnout","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Init(self, ""tiesuo_lianhuan"");","","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Use(self, ""tiesuo_lianhuan"");","","Mods/SanGuoShaExp/ModResource/Images/铁索连环","","Skill","SanGuoShaExp_sanguosha_cardpack_military"
"huogong","2","1","Burnout,Combo","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Init(self, ""huogong"");","","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Use(self, ""huogong"");","","Mods/SanGuoShaExp/ModResource/Images/火攻","","Attack","SanGuoShaExp_sanguosha_cardpack_military"
"bingliang_cunduan","2","1","Retain,Burnout","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Init(self, ""bingliang_cunduan"");","","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Use(self, ""bingliang_cunduan"");","","Mods/SanGuoShaExp/ModResource/Images/兵粮寸断","","Attack","SanGuoShaExp_sanguosha_cardpack_military"
"tengjia","2","1","Retain","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Init(self, ""tengjia"");","","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Use(self, ""tengjia"");","","Mods/SanGuoShaExp/ModResource/Images/藤甲","","","SanGuoShaExp_sanguosha_cardpack_military"
"guding_dao","2","0","Retain,Burnout","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Init(self, ""guding_dao"");","","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Use(self, ""guding_dao"");","","Mods/SanGuoShaExp/ModResource/Images/古锭刀","","","SanGuoShaExp_sanguosha_cardpack_military"
"lebu_sishu","3","2","Burnout","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Init(self, ""lebu_sishu"");","","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Use(self, ""lebu_sishu"");","","Mods/SanGuoShaExp/ModResource/Images/乐不思蜀","","Skill","SanGuoShaExp_sanguosha_cardpack_military"
