"Id","是否完成","Type","Note","Name","Name_en","Name_zh-Hant","Name_ja","Description","Description_zh-Hant","Description_en","Description_ja"
"wanjian_qifa","TRUE","锦囊牌","","万箭齐发","Arrow Barrage","萬箭齊發","万箭斉発","敌方全体18点伤害，自身18护甲。【连击】抽1张牌。","敵方全體18點傷害，自身18護甲。【連擊】抽1張牌。","All enemies take 18 damage. Gain 18 Shield. Combo: draw 1.","敵全体に18ダメージ。18シールド。コンボ:1枚引く。"
"taoyuan_jieyi","TRUE","锦囊牌","","桃园结义","Peach Garden Oath","桃園結義","桃園の誓い","回复28点生命，清除2个负面状态。【濒危】抽2。【焚毁】【保留】","回復28點生命，清除2個負面狀態。【瀕危】抽2。【焚毀】【保留】","Restore 28 HP and remove 2 negative statuses. Low HP: draw 2. Burnout. Retain.","HP28回復、負面状態2個解除。低HPなら2枚引く。焼却。保留。"
"wuxie_keji","TRUE","锦囊牌","","无懈可击","Nullification","無懈可擊","無懈可撃","清除全部负面状态，获得12护甲和3层{buff_impregnable}。【焚毁】【保留】","清除全部負面狀態，獲得12護甲和3層{buff_impregnable}。【焚毀】【保留】","Remove all negative statuses. Gain 12 Shield and 3 {buff_impregnable}. Burnout. Retain.","負面状態を全解除。12シールドと{buff_impregnable}3。焼却。保留。"
"shandian","TRUE","锦囊牌","","闪电","Lightning","閃電","稲妻","【判定】成功：随机敌人45雷伤害，全体3层{buff_weakness}。失败：自身10雷伤害。","【判定】成功：隨機敵人45雷傷害，全體3層{buff_weakness}。失敗：自身10雷傷害。","Check. Success: random enemy takes 45 Thunder, all enemies gain 3 {buff_weakness}. Fail: take 10 Thunder.","判定。成功:ランダム敵45雷、敵全体{buff_weakness}3。失敗:自身10雷。"
"wugu_fengdeng","TRUE","锦囊牌","","五谷丰登","Harvest","五穀豐登","五穀豊穣","抽4张牌，获得1点魔能。【裂变】抽牌+1，最多6。【焚毁】","抽4張牌，獲得1點魔能。【裂變】抽牌+1，最多6。【焚毀】","Draw 4 and gain 1 Mana. Fission: draw +1, max 6. Burnout.","4枚引き、魔力+1。裂変:追加1枚、最大6。焼却。"
"huosha","TRUE","基本牌","","火杀","Fire Sha","火殺","火殺","造成12点火伤害，施加8层{buff_burn}。【连击】立刻结算燃烧。【裂变】伤害+2。","造成12點火傷害，施加8層{buff_burn}。【連擊】立刻結算燃燒。【裂變】傷害+2。","Deal 12 Fire damage and apply 8 {buff_burn}. Combo: trigger Burn. Fission: +2 damage.","12火ダメージ、{buff_burn}8。コンボ:燃焼発動。裂変:+2。"
"leisha","TRUE","基本牌","","雷杀","Thunder Sha","雷殺","雷殺","造成12点雷伤害并判定。成功：追加18雷伤害和4层{buff_weakness}。","造成12點雷傷害並判定。成功：追加18雷傷害和4層{buff_weakness}。","Deal 12 Thunder and check. Success: +18 Thunder and 4 {buff_weakness}.","12雷ダメージと判定。成功:+18雷、{buff_weakness}4。"
"tiesuo_lianhuan","TRUE","锦囊牌","","铁索连环","Iron Chain","鐵索連環","鉄索連環","敌方全体获得3层连环。火/雷伤害会对其他连环敌人造成60%溅射。","敵方全體獲得3層連環。火/雷傷害會對其他連環敵人造成60%濺射。","All enemies gain 3 Chain. Fire/Thunder splashes 60% to other Chained enemies.","敵全体に連環3。火/雷は他の連環敵に60%波及。"
"huogong","TRUE","锦囊牌","","火攻","Fire Attack","火攻","火攻","造成16点火伤害。有火杀或酒意时改为32，并施加10层{buff_burn}。","造成16點火傷害。有火殺或酒意時改為32，並施加10層{buff_burn}。","Deal 16 Fire. With Fire Sha or Wine: 32 and 10 {buff_burn}.","16火ダメージ。火殺か酒意があれば32と{buff_burn}10。"
"bingliang_cunduan","TRUE","锦囊牌","","兵粮寸断","Supply Shortage","兵糧寸斷","兵糧寸断","目标获得兵粮寸断、4层{buff_weak}和4层{buff_weakness}。【焚毁】【保留】","目標獲得兵糧寸斷、4層{buff_weak}和4層{buff_weakness}。【焚毀】【保留】","Apply Supply Shortage, 4 {buff_weak}, and 4 {buff_weakness}. Burnout. Retain.","兵糧寸断、{buff_weak}4、{buff_weakness}4。焼却。保留。"
"tengjia","TRUE","装备牌","","藤甲","Vine Armor","藤甲","藤甲","获得28护甲、2层藤甲和8层{buff_resilient}。【保留】","獲得28護甲、2層藤甲和8層{buff_resilient}。【保留】","Gain 28 Shield, 2 Vine Armor, and 8 {buff_resilient}. Retain.","28シールド、藤甲2、{buff_resilient}8。保留。"
"guding_dao","TRUE","装备牌","","古锭刀","Ancient Scimitar","古錠刀","古錠刀","下一张杀：无护甲目标伤害+24；否则破甲20、伤害+4。【焚毁】【保留】","下一張殺：無護甲目標傷害+24；否則破甲20、傷害+4。【焚毀】【保留】","Next Sha: +24 vs unshielded target; otherwise break 20 Shield and +4 damage. Burnout. Retain.","次の殺:シールドなしに+24。あるなら20破甲し+4。焼却。保留。"
"jie_dongfeng","TRUE","锦囊牌","","借东风","Borrow the East Wind","借東風","東風を借りる","全体6层{buff_weakness}，燃烧结算2次。有连环时造成12火伤害。【判定/连击】抽2。","全體6層{buff_weakness}，燃燒結算2次。有連環時造成12火傷害。【判定/連擊】抽2。","All enemies gain 6 {buff_weakness}; trigger Burn twice. If any Chain exists, deal 12 Fire. Check/Combo: draw 2.","敵全体に{buff_weakness}6、燃焼2回。連環があれば12火。判定/コンボ:2枚引く。"
