"类别","运行时ID","原始ID","原始*标记","中文名","系列","所属卡包ID","所属卡包","稀有度","实际效果"
"标准遗物","relic_29","relic_29","否","点金手","物品","cardpack_2","通用卡包","2","行动时额外获得3枚金币，单场战斗中第100次触发时，额外获得600金币并脱离战斗。"
"标准遗物","relic_30","relic_30","否","第六元素","生物","cardpack_2","通用卡包","4","每打出1张牌获得1层元素。"
"标准遗物","relic_31","relic_31","否","血色回响","物品","cardpack_2","通用卡包","4","战斗开始时受到当前生命30%的真实伤害;你的每张卡牌有40%概率再打出1次。"
"标准遗物","relic_32","relic_32","否","烛芯","物品","cardpack_2","通用卡包","4","战斗开始时获得1层启示,1层坚毅。"
"标准遗物","relic_33","relic_33","否","希冀","概念","cardpack_2","通用卡包","4","战斗开始时,获得4点魔能并抽2张牌。"
"标准遗物","relic_34","relic_34","否","静谧","概念","cardpack_2","通用卡包","3","每次受伤时获得7点护盾。"
"标准遗物","relic_35","relic_35","否","超频协议","契约","cardpack_2","通用卡包","4","你在魔能不足且试图打出卡牌时可以超频获得1个魔能,每次超频获得魔能受到2的（X+1）次方点真实伤害（X为本回合累计赊欠的魔能）。"
"标准遗物","relic_36","relic_36","否","静滞秒针","闭锁时环","cardpack_2","通用卡包","4","战斗开始时,给予随机1个敌人一层时停。"
"标准遗物","relic_37","relic_37","否","战车造像","物品","cardpack_2","通用卡包","1","战斗开始时获得5层{buff_evergreen}。"
"标准遗物","relic_38","relic_38","否","补给凭证","契约","cardpack_2","通用卡包","3","战斗结算时的奖励+1。"
"标准遗物","relic_39","relic_39","否","铭刻分针","闭锁时环","cardpack_2","通用卡包","1","每场战斗开始时,将你的生命调整为最大生命值的40%.如果你因为此对象失去生命,获得等同于失去生命值的金币."
"标准遗物","relic_40","relic_40","否","机芯","物品","cardpack_2","通用卡包","4","战斗开始时获得1层不屈。"
"标准遗物","relic_41","relic_41","否","升格仪式","概念","cardpack_14","血鬼谱系综述","2","回合开始时给与所有敌人5层流血。并且如果所有单位累计流血层数大于三十，直到战斗结束，你不会因流血受到伤害。"
"标准遗物","relic_42","relic_42","否","刀片","物品","cardpack_2","通用卡包","1","每回合你造成的第一次伤害+6。"
"标准遗物","relic_43","relic_43","否","历战徽记：体魄","物品","cardpack_2","通用卡包","2","战斗开始时,你的最大生命值永久+3。"
"标准遗物","relic_44","relic_44","否","全威力珠","物品","cardpack_2","通用卡包","1","战斗开始时获得20层超凡。"
"标准遗物","relic_45","relic_45","否","时虫之鳞","物品","cardpack_2","通用卡包","4","战斗开始时获得2层循环。"
"标准遗物","relic_46","relic_46","否","振奋之息","概念","cardpack_2","通用卡包","1","战斗开始时恢复8点生命。"
"标准遗物","relic_47","relic_47","否","曲针","物品","cardpack_2","通用卡包","2","战斗开始时获得3层蓄势。"
"标准遗物","relic_48","relic_48","否","渊薮呼唤","概念","cardpack_2","通用卡包","3","如果你牌堆牌数大于18张,魔能自然恢复+1。"
"标准遗物","relic_49","relic_49","否","纸板甲","物品","cardpack_2","通用卡包","1","战斗开始时获得1层坚毅。"
"标准遗物","relic_50","relic_50","否","历战徽记：自愈","物品","cardpack_2","通用卡包","2","你受伤时时恢复2点生命值。"
"标准遗物","relic_51","relic_51","否","梦羽钢","物品","cardpack_2","通用卡包","1","回合结束时，手牌中每有一张非指向性牌，获得2点护盾。"
"标准遗物","relic_52","relic_52","否","死契 伊尔","契约","cardpack_8","七重试炼","2","回合结束时，获得等同于当前护盾量40%的护盾，在第6回合结束时死亡。"
"标准遗物","relic_53","relic_53","否","历战徽记：先登","物品","cardpack_2","通用卡包","3","敌人在第1回合死亡时，魔女获得1层""士官""棋子的祝福。"
"标准遗物","relic_54","relic_54","否","阴&阳","物品","cardpack_2","通用卡包","4","当你回合内抽牌第一次达到手牌上限时，回复3点魔能；当你回合内回复魔能第一次超过魔能上限时，抽4张牌。"
"标准遗物","relic_55","relic_55","否","轴钉","物品","cardpack_2","通用卡包","1","回合开始时，获得3层自愈，10层超凡。"
"标准遗物","relic_56","relic_56","否","《风暴》","物品","cardpack_2","通用卡包","2","回合开始时你对随机敌人造成2点伤害,重复当前精神数值/5次，然后+1手牌上限。"
"标准遗物","relic_57","relic_57","否","先机","概念","cardpack_2","通用卡包","1","在第1回合你额外抽2张牌与5点护盾。"
"标准遗物","relic_58","relic_58","否","回廊","闭锁时环","cardpack_2","通用卡包","2","第二回合开始时,你回到战斗开始时的状态。"
"标准遗物","relic_59","relic_59","否","追忆","概念","cardpack_2","通用卡包","3","你每次行动时,随机触发以下效果,对随机敌人造成x点伤害、自身获得x点护盾，自身回复x点血量，获得x点金币。(x为你本场战斗焚毁的卡牌数目)"
"标准遗物","relic_60","relic_60","否","魔力插头","物品","cardpack_2","通用卡包","1","回合结束时,消耗所有剩余魔能，每点魔能恢复6点生命。"
"标准遗物","relic_61","relic_61","否","赝造金像","物品","cardpack_2","通用卡包","2","战斗开始时最大生命值-2,获得40金币。"
"标准遗物","relic_62","relic_62","否","固化理智","概念","cardpack_2","通用卡包","2","回合结束时,你可以额外保留2张卡牌。"
"标准遗物","relic_63","relic_63","否","《死灵之书》","物品","cardpack_2","通用卡包","2","战斗开始时获得混乱"
"标准遗物","relic_64","relic_64","否","笼中雀","物品","cardpack_4","时空奇旅","3","时之笼层数每变化两次,抽1张牌。"
"标准遗物","relic_65","relic_65","否","咒怨石像","物品","cardpack_2","通用卡包","2","每当敌人在其自己的回合中死亡时，你获得一层""萨满""的祝福。"
"标准遗物","relic_66","relic_66","否","千纸鹤","物品","cardpack_2","通用卡包","2","每抽一张牌，随机获得0-3点护盾值。"
"标准遗物","relic_67","relic_67","否","律法范本","物品","cardpack_2","通用卡包","3","每受伤6次，获得一个""律法""的祝福。每场战斗最多触发4次。"
"标准遗物","relic_68","relic_68","否","国王权杖","物品","cardpack_2","通用卡包","3","你每通过一个精英关卡，获得一个""皇后""的祝福。"
"标准遗物","relic_69","relic_69","否","石之心","物品","cardpack_2","通用卡包","1","回合结束时，若你本回合没有出过牌，获得30点的护盾."
"标准遗物","relic_70","relic_70","否","灵感债券","契约","cardpack_2","通用卡包","2","战斗开始时额外抽5张牌。后续每回合额外抽x张牌(x为5-你本回合打出的手牌数)。"
"标准遗物","relic_71","relic_71","否","火鬼鸣泣","物品","cardpack_2","通用卡包","4","魔能自然回复+1，回合结束时，可以选择一张手牌焚毁。"
"标准遗物","relic_72","relic_72","否","龙之血","物品","cardpack_2","通用卡包","2","战斗开始时，卡组的牌数量每比10张多一张，获得10层超凡。最多100层。"
"标准遗物","relic_73","relic_73","否","试作光环","物品","cardpack_2","通用卡包","4","魔能自然回复-2，每回合结束时获得一层启示。"
"标准遗物","relic_74","relic_74","否","主教长袍","物品","cardpack_2","通用卡包","3","每回合一次，第一次打空手牌时，抽5张牌。"
"标准遗物","relic_75","relic_75","否","纸牌塔：白","物品","cardpack_2","通用卡包","1","回合结束时，获得弃牌堆卡牌数量的护盾。"
"标准遗物","relic_76","relic_76","否","纸牌塔：黑","物品","cardpack_2","通用卡包","1","回合结束时，若抽牌堆数大于手牌数，获得相当于抽牌堆牌数的护盾。"
"标准遗物","relic_77","relic_*77","是","铁桶","物品","cardpack_2","通用卡包","1","战斗开始时获得12点护甲。"
"标准遗物","relic_78","relic_*78","是","纯金王冠","物品","cardpack_2","通用卡包","3","战斗开始时获得3层锋锐与1点额外魔能。"
"标准遗物","relic_79","relic_*79","是","可可的勾线笔","物品","cardpack_2","通用卡包","2","战斗开始时随机获得5个增益buff。"
"标准遗物","relic_80","relic_*80","是","迷途天使之环","物品","cardpack_2","通用卡包","2","战斗开始时获得2层{buff_degrade}和2层{buff_impregnable}。"
"众筹遗物","CrowdFundingRelic_1","CrowdFundingRelic_1","否","蛇蛇的残蜕","蛇自阴影中袭来","cardpack_7","蛇自阴影中袭来","3","初始具有9层蛇蜕（显示在遗物右下角的数字），受到超过最大生命5%的攻击时，消耗蛇蜕层数恢复等同于（受到伤害+最大生命5%）的生命。当携带者在战斗中死而复生时，恢复9层蛇蜕"
"众筹遗物","CrowdFundingRelic_2","CrowdFundingRelic_2","否","重生徽记","爱与梦魇的阶梯","cardpack_7","蛇自阴影中袭来","2","战斗开始时，获得1魔能，若触发死而复生，战斗结束后选择本源各+2"
"众筹遗物","CrowdFundingRelic_3","CrowdFundingRelic_3","否","胧月樱","蛇自阴影中袭来","cardpack_7","蛇自阴影中袭来","3","战斗中，每焚毁1张卡牌，获得3层重生。"
"众筹遗物","CrowdFundingRelic_4","CrowdFundingRelic_4","否","逝者的庇佑","蛇自阴影中袭来","cardpack_7","蛇自阴影中袭来","1","自带1充能。战斗开始时如果有充能获得100重生。重生时充能-1。boss战胜利时恢复1充能；每回合结束时受到当前生命值18%的真实伤害。"
"众筹遗物","CrowdFundingRelic_5","CrowdFundingRelic_5","否","哀怨结鸣","爱与梦魇的阶梯","cardpack_5","爱与梦魇的阶梯","2","受伤时，如果伤害来源不是自己，回复等同攻击者负面状态种数的血量，然后攻击者的所有已拥有负面状态增加1层。"
"众筹遗物","CrowdFundingRelic_6","CrowdFundingRelic_6","否","雪日回忆","爱与梦魇的阶梯","cardpack_5","爱与梦魇的阶梯","3","你每焚毁1张牌，对所有敌人缠怨2。回合结束时，你可以选择并焚毁1张牌。"
"众筹遗物","CrowdFundingRelic_7","CrowdFundingRelic_7","否","洛琳的礼物","爱与梦魇的阶梯","cardpack_5","爱与梦魇的阶梯","4","战斗开始时对所有敌人缠怨3，自身回合结束时使敌方全体负面状态层数增加其负面种数的层数。"
"众筹遗物","CrowdFundingRelic_8","CrowdFundingRelic_8","否","埃文尔牧的絮语","爱与梦魇的阶梯","cardpack_5","爱与梦魇的阶梯","4","每次给予负面效果时，随机1张手牌本回合下次打出费用-1"
"众筹遗物","CrowdFundingRelic_9","CrowdFundingRelic_9","否","灼魂的白剑","爱与梦魇的阶梯","cardpack_5","爱与梦魇的阶梯","3","每次给予负面效果时，额外追加1层灼烧效果"
"众筹遗物","CrowdFundingRelic_10","CrowdFundingRelic_10","否","双星","爱与梦魇的阶梯","cardpack_5","爱与梦魇的阶梯","4","其他目标每获得2次负面buff时，自身获得1层随机正面buff"
"众筹遗物","CrowdFundingRelic_11","CrowdFundingRelic_11","否","悖论魔法","七重试炼","cardpack_8","七重试炼","4","战斗时，抽到不在战斗牌堆的卡牌时，遗物计数+1累计10点计数后，重置计数并使得未满的基础属性+1"
"众筹遗物","CrowdFundingRelic_12","CrowdFundingRelic_12","否","七咒之戒","七重试炼","cardpack_8","七重试炼","4","受到的伤害+40%护盾获取量-40%受到的治疗量-50%金币获得+20%回合结束时，随机获得2种负面异常1层回合结束时，流失当前生命10%战斗结束时，损失当前金币的10%战斗开始时，获得3层失格,额外抽3张牌，若层数大于18，你牌库中的所有卡牌在本场战斗费用-1。单次冒险中首次携带时，获得【诅咒之刃】【受诅者的加护】【七咒卷轴】回合开始时，抽牌堆，手牌，弃牌堆，每有1张诅咒牌，获得0.5点咒力"
"众筹遗物","CrowdFundingRelic_13","CrowdFundingRelic_*13","是","七咒卷轴","七重试炼","cardpack_8","七重试炼","4","无法以常规手段获得，只能通过【七咒之戒】获得，只有在携带【七咒之戒】时生效造成伤害时有7%的概率获得（负面效果种数+7）*2 层超凡和一半的自愈"
"众筹遗物","CrowdFundingRelic_14","CrowdFundingRelic_14","否","圣言福音","奥尔德林诸神谕","cardpack_9","奥尔德林诸神谕","2","行动时有50%几率获得1层神启"
"众筹遗物","CrowdFundingRelic_15","CrowdFundingRelic_15","否","羽纹石板","奥尔德林诸神谕","cardpack_9","奥尔德林诸神谕","3","战斗开始时获得3层神启，每打出三张卡，获得神启层数的护盾"
"众筹遗物","CrowdFundingRelic_16","CrowdFundingRelic_16","否","□□□的雕像","奥尔德林诸神谕","cardpack_9","奥尔德林诸神谕","2","每次焚毁手牌时，使我方获得一层神启（若存在唤神标签，再额外加一），当神启层数每提升5层获得20超凡。"
"众筹遗物","CrowdFundingRelic_17","CrowdFundingRelic_*17","是","难以忘却的苦痛","飞升之路","cardpack_10","飞升之路","3","每受1次伤害立即对全体敌方造成1点真实伤害,逐渐叠加"
"众筹遗物","CrowdFundingRelic_18","CrowdFundingRelic_*18","是","企鹅","飞升之路","cardpack_10","飞升之路","2","每次造成伤害就叠加10%的增伤，受到任意伤害后重置"
"众筹遗物","CrowdFundingRelic_19","CrowdFundingRelic_19","否","细高跟鞋","血鬼谱系综述","cardpack_14","血鬼谱系综述","2","攻击时附加1层流血；"
"众筹遗物","CrowdFundingRelic_20","CrowdFundingRelic_20","否","银之匙","万物元素之始","cardpack_15","万物元素之始","4","战斗开始时获得8层元素，每两次攻击对所有敌人附带当前血量8%真实伤害"
"众筹遗物","CrowdFundingRelic_22","CrowdFundingRelic_22","否","花上亡灵的胸针","深渊生存法则","cardpack_16","深渊生存法则","4","回合开始时，若自身没有失格，给予自身5层失格；攻击时恢复伤害50%比例护盾，并对敌方全体造成攻击一半的真实伤害"
"众筹遗物","CrowdFundingRelic_23","CrowdFundingRelic_23","否","不落要塞","深渊生存法则","cardpack_16","深渊生存法则","4","每场战斗限一次，角色受到致死伤害时触发，HP变为1点，储存接下来受到的所有伤害，魔能上限减少1/2（向上取整），当回合结束时若角色魔能上限=0，该效果失效，对角色造成等同于储存伤害的真实伤害"
"众筹遗物","CrowdFundingRelic_24","CrowdFundingRelic_24","否","红糖豆沙馅馄饨","深渊生存法则","cardpack_16","深渊生存法则","3","回合开始时受到10*当前回合数的伤害，回合结束时回复本回合所受伤害的生命值"
"众筹遗物","CrowdFundingRelic_25","CrowdFundingRelic_*25","是","贤者之石","高阶魔法基础·必修一","cardpack_11","高阶魔法基础·必修三","3","每回合开始时随机使一张牌费用减1-3"
"众筹遗物","CrowdFundingRelic_26","CrowdFundingRelic_*26","是","星霜之栞","高阶魔法基础·必修一","cardpack_11","高阶魔法基础·必修三","4","每次释放卡牌有x%概率再释放一次，每局初始为100%，每成功一次降低20%，最低20%"
"众筹遗物","CrowdFundingRelic_27","CrowdFundingRelic_*27","是","格式化协议","高阶魔法基础·必修一","cardpack_11","高阶魔法基础·必修三","2","打出基础耗能为3的卡牌时，选择一张卡牌降低2点能耗打出基础耗能为2的卡牌时，选择一张卡牌降低1点能耗两个效果每场战斗各可触发一次"
"众筹遗物","CrowdFundingRelic_28","CrowdFundingRelic_*28","是","独奏乐章","混沌乐团","cardpack_12","混沌乐团","4","卡组中不存在同名的卡牌时，回合开始时，使所有手牌本回合消耗魔能-1。回合结束不弃牌。"
"众筹遗物","CrowdFundingRelic_29","CrowdFundingRelic_*29","是","记忆具现化","混沌乐团","cardpack_12","混沌乐团","2","装备此遗物时，随机变化为装备栏的一个遗物"
"众筹遗物","CrowdFundingRelic_30","CrowdFundingRelic_30","否","奥罗拉的手甲","深渊生存法则","cardpack_13","统合之约","2","回合开始时，给予所有装备了奥罗拉遗物的单位拥有对应遗物数量次10层超凡"
"众筹遗物","CrowdFundingRelic_31","CrowdFundingRelic_31","否","奥罗拉的腿甲","高阶魔法基础·必修一","cardpack_13","统合之约","2","回合开始时，给予所有装备了奥罗拉遗物的单位拥有对应遗物数量次3层强韧"
"众筹遗物","CrowdFundingRelic_32","CrowdFundingRelic_32","否","奥罗拉的臂铠","高阶魔法基础·必修一","cardpack_13","统合之约","2","回合开始时，给予所有装备了奥罗拉遗物的单位拥有对应遗物数量次10点护盾"
"众筹遗物","CrowdFundingRelic_33","CrowdFundingRelic_33","否","奥罗拉的光环","高阶魔法基础·必修一","cardpack_13","统合之约","4","战斗开始时，给予所有装备了奥罗拉遗物的单位1层循环"
"众筹遗物","CrowdFundingRelic_34","CrowdFundingRelic_34","否","奥罗拉的圣盾","法术序列","cardpack_13","统合之约","3","战斗开始时，给予所有装备了奥罗拉遗物的单位1层坚毅"
"众筹遗物","CrowdFundingRelic_35","CrowdFundingRelic_35","否","奥罗拉的圣剑","法术序列","cardpack_13","统合之约","4","战斗开始时，给予所有装备了奥罗拉遗物的单位10层元素"
"众筹遗物","CrowdFundingRelic_36","CrowdFundingRelic_*36","是","魔女的祈愿","爱与梦魇的阶梯","cardpack_5","爱与梦魇的阶梯","3","敌人每有一种不同的负面状态，你对其造成的伤害+10%。"
"众筹遗物","CrowdFundingRelic_37","CrowdFundingRelic_37","否","我发现了","法术序列","cardpack_6","黑色巫术","2","战斗开始的首个回合，将一张瓶中手稿加入手牌。"
"众筹遗物","CrowdFundingRelic_38","CrowdFundingRelic_38","否","第三个星期天","法术序列","cardpack_6","黑色巫术","2","回合结束时，若复还层数大于80，降低10层复还,否则，获得10点护盾。"
"众筹遗物","CrowdFundingRelic_39","CrowdFundingRelic_39","否","过早埋葬","法术序列","cardpack_6","黑色巫术","2","卡牌焚毁时，获得10点护盾"
"众筹遗物","CrowdFundingRelic_40","CrowdFundingRelic_40","否","多色草山谷","法术序列","cardpack_6","黑色巫术","2","打出的卡牌每有1点原始费用，获得【重生1】"
"众筹遗物","CrowdFundingRelic_41","CrowdFundingRelic_41","否","永燃星痕","蛇自阴影中袭来","cardpack_7","蛇自阴影中袭来","2","每次受伤时，如果攻击者不为自己。给攻击者附加2层灼烧，【重生】时给敌方附加12层灼烧，并立刻结算敌方的负面效果的回合开始和行动时点。"
"众筹遗物","CrowdFundingRelic_42","CrowdFundingRelic_42","否","衔露晶萼","蛇自阴影中袭来","cardpack_7","蛇自阴影中袭来","4","死亡时降低25%最大生命上限（可叠加），随后触发【重生50】；（单次战斗中最多触发2次）"
"众筹遗物","CrowdFundingRelic_43","CrowdFundingRelic_43","否","死灵纪实","混沌乐团","cardpack_12","混沌乐团","2","回合结束时，随机焚毁你弃牌堆中的一张行动牌；检定40：若成功：获得3层元素并获得2点护盾若失败：获得2层毒素并失去2点生命"
"众筹遗物","CrowdFundingRelic_44","CrowdFundingRelic_44","否","四叶草","混沌乐团","cardpack_12","混沌乐团","2","幸运+5"
"众筹遗物","CrowdFundingRelic_45","CrowdFundingRelic_45","否","厄米娅的骰子","混沌乐团","cardpack_12","混沌乐团","2","检定骰额外扔出一枚，取检定值更大的结果"
"众筹遗物","CrowdFundingRelic_46","CrowdFundingRelic_46","否","混沌序章","混沌乐团","cardpack_12","混沌乐团","2","战斗开始时，获得2层天罚"
"众筹遗物","CrowdFundingRelic_47","CrowdFundingRelic_47","否","统合辉记","统合之约","cardpack_13","统合之约","3","战斗开始时所有本源临时+5；每有一个友方单位装备了这件遗物，额外生效一次"
"众筹遗物","CrowdFundingRelic_48","CrowdFundingRelic_48","否","君主权杖","","cardpack_18","法术序列","3","战斗开始时获得6层元素"
"众筹遗物","CrowdFundingRelic_49","CrowdFundingRelic_49","否","魔网源流","","cardpack_18","法术序列","4","每次进行进阶施法时获得一张【流星尘埃】或者【灰色寂灭】"
"众筹遗物","CrowdFundingRelic_50","CrowdFundingRelic_50","否","贤者法典","","cardpack_18","法术序列","2","每当进行进阶施法时，获得10点护盾并恢复5点生命"
"众筹遗物","CrowdFundingRelic_51","CrowdFundingRelic_51","否","真知者吊坠","","cardpack_18","法术序列","2","战斗开始时，获得1张0费的【灰色寂灭】"
"众筹遗物","CrowdFundingRelic_52","CrowdFundingRelic_52","否","大法师环戒","","cardpack_18","法术序列","4","魔能上限+1。战斗开始时随机获得两张法术素材"
"众筹遗物","CrowdFundingRelic_53","CrowdFundingRelic_53","否","炼金原石","","cardpack_18","法术序列","3","回合开始时随机创造两张施法素材"
"众筹遗物","CrowdFundingRelic_54","CrowdFundingRelic_54","否","星界观测者","","cardpack_7","蛇自阴影中袭来","4","每使用3张卡牌使手牌第一张没有唤神的卡牌在这场战斗中获得唤神战斗开始时，获得【重生50】，触发【重生】时，摧毁这件遗物"
"众筹遗物","CrowdFundingRelic_55","CrowdFundingRelic_*55","是","失序命羽","","cardpack_7","蛇自阴影中袭来","4","受到致命伤害时，消耗10层充能，给与自身100层重生，给予敌方全体20层灼烧；焚毁卡牌恢复2点充能，触发时之笼恢复1充能，上限10点充能"
"众筹遗物","CrowdFundingRelic_56","CrowdFundingRelic_56","否","毁灭的预言诗","","cardpack_19","超位仪式","3","打出13张不同名的牌后，获得""所有暴力的本我"""
"众筹遗物","CrowdFundingRelic_58","CrowdFundingRelic_58","否","星辰之泪","","cardpack_9","奥尔德林诸神谕","4","回合开始时获取1张「唤神」行动牌。每当神启层数提高时，检定95：获得1张-1消耗的唤神牌"
"众筹遗物","CrowdFundingRelic_59","CrowdFundingRelic_59","否","希望宝札","","cardpack_9","奥尔德林诸神谕","4","受到大于当前生命值的伤害时消耗1次充能回复等量生命，从初始牌堆里面挑选一张加入手牌并降低这张卡牌费用到1（不会提高卡牌费用）；回合结束时若神启层数＞10，消耗一半的神启层数恢复1充能"
"众筹遗物","CrowdFundingRelic_60","CrowdFundingRelic_60","否","寒月的魔法书","","cardpack_8","七重试炼","4","获得时随机删除4张行动牌。战斗开始时魔能上限+1，每消耗2次魔能，获得1层元素。"
"众筹遗物","CrowdFundingRelic_61","CrowdFundingRelic_61","否","魔法史册","","cardpack_8","七重试炼","4","战斗中每两次受到治疗时，临时魔力+1，临时感知+1。获得此遗物时会同时获得卡牌【超频形态】，祝福【玛娜科技】"
"众筹遗物","CrowdFundingRelic_62","CrowdFundingRelic_62","否","第一元素","","cardpack_15","万物元素之始","2","回合开始时，随机生成1张带有元素的行动牌；阿米莉娅装备时，从1张改成2张"
"众筹遗物","CrowdFundingRelic_63","CrowdFundingRelic_63","否","拷贝下载","","cardpack_2","通用卡包","3","前一个遗物的效果会再执行一次"
"众筹遗物","CrowdFundingRelic_64","CrowdFundingRelic_64","否","无相纱","","cardpack_20","无终之国的新月","2","每次获得新月/蚀月时，额外获得1层。"
"众筹遗物","CrowdFundingRelic_65","CrowdFundingRelic_65","否","月咒镣铐","","cardpack_20","无终之国的新月","4","使用牌时若与上一张基础费用不同，则抽一张牌。"
"众筹遗物","CrowdFundingRelic_66","CrowdFundingRelic_66","否","覆灵之踵","","cardpack_20","无终之国的新月","3","每两次造成不低于10点的真实伤害时，提升1点最大生命值。"
"众筹遗物","CrowdFundingRelic_67","CrowdFundingRelic_67","否","月冕","","cardpack_20","无终之国的新月","3","初始1层，上限3层充能，受到致命伤害时消耗一层充能并将生命值恢复至66％，胜利3场战斗可获得1层。"
"众筹遗物","CrowdFundingRelic_68","CrowdFundingRelic_68","否","飞鸟衔来的花冠","","cardpack_20","无终之国的新月","3","本源上限若小于40，则变为40。"
"众筹遗物","CrowdFundingRelic_69","CrowdFundingRelic_*69","是","神髓","","cardpack_20","无终之国的新月","4","拥有覆灵之踵/无相纱/月冕三种遗物后，移除上述遗物并合成该遗物：每次行动额外获得1层新月/蚀月；每场战斗第1次死亡时恢复全部生命值并对全体敌人造成恢复值的真实伤害"
"众筹遗物","CrowdFundingRelic_73","CrowdFundingRelic_73","否","虚妄之药","","cardpack_16","深渊生存法则","3","生命恢复效果提升1/2，恢复血量时将额外获得恢复血量1/4的护盾。"
"众筹遗物","CrowdFundingRelic_74","CrowdFundingRelic_74","否","行死反生","","cardpack_16","深渊生存法则","3","生命比例越低，造成的伤害越高，最多增加100%"
"众筹遗物","CrowdFundingRelic_75","CrowdFundingRelic_75","否","塞壬手札","","cardpack_16","深渊生存法则","2","每次洗牌时对所有敌人造成自身已损失生命值15%的伤害"
"众筹遗物","CrowdFundingRelic_76","CrowdFundingRelic_*76","是","苏轼郎","","cardpack_16","深渊生存法则","2","战斗开始三回合后，回复当前生命值的40%"
