"Id","Rarity","Expend","Tag","InitScript","DrawScript","UseScript","DropScript","Icon","Effects","Action","PackBelong"
"唯一标识","稀有度","花费","标签","更新显示信息用的","卡牌抽到后执行","卡牌使用后执行","卡牌进入弃牌堆后执行","图标资源的路径","特效路径","动作","所属卡包"
"solar_coronation","3","2","白曜","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""solar_coronation"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""solar_coronation"");","","Mods/SunExp/ModResource/Images/Card/SunExp/solar_coronation","","","SunExp_sunexp_cardpack_radiant_spark"
"blazing_crown_collapse","3","3","白曜","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""blazing_crown_collapse"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""blazing_crown_collapse"");","","Mods/SunExp/ModResource/Images/Card/SunExp/blazing_crown_collapse","","Attack","SunExp_sunexp_cardpack_ember_crown"
"*radiant_oath","1","0","Burnout","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""*radiant_oath"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""*radiant_oath"");","","Mods/SunExp/ModResource/Images/Card/SunExp/radiant_oath","","","SunExp_sunexp_cardpack_radiant_spark"
"solar_ignition","1","1","白曜","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""solar_ignition"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""solar_ignition"");","","Mods/SunExp/ModResource/Images/Card/SunExp/solar_ignition","","Skill","SunExp_sunexp_cardpack_radiant_spark"
"scorching_flow_reclaim","2","1","","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""scorching_flow_reclaim"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""scorching_flow_reclaim"");","","Mods/SunExp/ModResource/Images/Card/SunExp/scorching_flow_reclaim","","Attack","SunExp_sunexp_cardpack_ember_crown"
"impurity_purge","2","1","白曜","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""impurity_purge"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""impurity_purge"");","","Mods/SunExp/ModResource/Images/Card/SunExp/impurity_purge","","","SunExp_sunexp_cardpack_solar_canopy"
"flamewheel_recurrence","3","1","白曜","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""flamewheel_recurrence"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""flamewheel_recurrence"");","","Mods/SunExp/ModResource/Images/Card/SunExp/flamewheel_recurrence","","Skill","SunExp_sunexp_cardpack_ember_crown"
"eclipse_hex","2","2","","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""eclipse_hex"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""eclipse_hex"");","","Mods/SunExp/ModResource/Images/Card/SunExp/eclipse_hex","","Attack","SunExp_sunexp_cardpack_solar_canopy"
"solar_scorching_light","2","1","","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""solar_scorching_light"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""solar_scorching_light"");","","Mods/SunExp/ModResource/Images/Card/SunExp/solar_scorching_light","","","SunExp_sunexp_cardpack_radiant_spark"
"burning_calamity","2","1","","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""burning_calamity"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""burning_calamity"");","","Mods/SunExp/ModResource/Images/Card/SunExp/burning_calamity","","Attack","SunExp_sunexp_cardpack_solar_canopy"
"burning_crown_oath","2","1","白曜","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""burning_crown_oath"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""burning_crown_oath"");","","Mods/SunExp/ModResource/Images/Card/SunExp/burning_crown_oath","","","SunExp_sunexp_cardpack_ember_crown"
"morning_light_bulwark","1","1","白曜","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""morning_light_bulwark"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""morning_light_bulwark"");","","Mods/SunExp/ModResource/Images/Card/SunExp/morning_light_bulwark","","","SunExp_sunexp_cardpack_radiant_spark"
"solar_return","2","0","白曜","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""solar_return"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""solar_return"");","","Mods/SunExp/ModResource/Images/Card/SunExp/solar_return","","","SunExp_sunexp_cardpack_radiant_spark"
"solar_origin_core","2","0","白曜","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""solar_origin_core"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""solar_origin_core"");","","Mods/SunExp/ModResource/Images/Card/SunExp/solar_origin_core","","","SunExp_sunexp_cardpack_radiant_spark"
"ember_tower","1","1","白曜","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""ember_tower"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""ember_tower"");","","Mods/SunExp/ModResource/Images/Card/SunExp/ember_tower","","","SunExp_sunexp_cardpack_ember_crown"
"gathered_flame_shield","2","1","","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""gathered_flame_shield"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""gathered_flame_shield"");","","Mods/SunExp/ModResource/Images/Card/SunExp/gathered_flame_shield","","","SunExp_sunexp_cardpack_ember_crown"
"*gathered_flame_cycle","2","2","Burnout","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""*gathered_flame_cycle"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""*gathered_flame_cycle"");","","Mods/SunExp/ModResource/Images/Card/SunExp/gathered_flame_cycle","","","SunExp_sunexp_cardpack_ember_crown"
"solar_eclipse","1","1","","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""solar_eclipse"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""solar_eclipse"");","","Mods/SunExp/ModResource/Images/Card/SunExp/solar_eclipse","","","SunExp_sunexp_cardpack_solar_canopy"
"smoke_erosion","1","1","","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""smoke_erosion"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""smoke_erosion"");","","Mods/SunExp/ModResource/Images/Card/SunExp/smoke_erosion","","Attack","SunExp_sunexp_cardpack_solar_canopy"
"afterglow_omen_card","3","5","Retain,白曜,Annihilation","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""afterglow_omen_card"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""afterglow_omen_card"");","","Mods/SunExp/ModResource/Images/Card/SunExp/afterglow_omen_card","","Attack","SunExp_sunexp_cardpack_radiant_spark"
"star_map","3","0","Burnout","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""star_map"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""star_map"");","","Mods/SunExp/ModResource/Images/Card/MorningStar/star_map","","","SunExp_sunexp_cardpack_morning_star_overture"
"blank_star_score","1","1","","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""blank_star_score"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""blank_star_score"");","","Mods/SunExp/ModResource/Images/Card/MorningStar/blank_star_score","","","SunExp_sunexp_cardpack_morning_star_overture"
"meter_rewrite","1","1","","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""meter_rewrite"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""meter_rewrite"");","","Mods/SunExp/ModResource/Images/Card/MorningStar/meter_rewrite","","","SunExp_sunexp_cardpack_morning_star_overture"
"prewritten_measure","2","1","","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""prewritten_measure"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""prewritten_measure"");","","Mods/SunExp/ModResource/Images/Card/MorningStar/prewritten_measure","","","SunExp_sunexp_cardpack_morning_star_overture"
"star_orbit_transpose","2","1","","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""star_orbit_transpose"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""star_orbit_transpose"");","","Mods/SunExp/ModResource/Images/Card/MorningStar/star_orbit_transpose","","","SunExp_sunexp_cardpack_morning_star_overture"
"rest_mark","2","0","Burnout","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""rest_mark"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""rest_mark"");","","Mods/SunExp/ModResource/Images/Card/MorningStar/rest_mark","","","SunExp_sunexp_cardpack_morning_star_overture"
"morning_star_stage","3","2","Burnout","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""morning_star_stage"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""morning_star_stage"");","","Mods/SunExp/ModResource/Images/Card/MorningStar/morning_star_stage","","","SunExp_sunexp_cardpack_morning_star_overture"
"star_score_echo","3","2","Burnout","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""star_score_echo"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""star_score_echo"");","","Mods/SunExp/ModResource/Images/Card/MorningStar/star_score_echo","","","SunExp_sunexp_cardpack_morning_star_overture"
"polymorph","3","1","Burnout","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""polymorph"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""polymorph"");","","Mods/SunExp/ModResource/Images/Card/MoreDimension/bai_bian","","","SunExp_sunexp_cardpack_more_dimensions"
"*polymorph_role_template","3","0","Burnout,Nihility","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""*polymorph_role_template"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""*polymorph_role_template"");","","Mods/SunExp/ModResource/Images/Card/MoreDimension/bai_bian","","",""
"witch_projection","3","1","Burnout","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""witch_projection"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""witch_projection"");","","Mods/SunExp/ModResource/Images/Card/MoreDimension/help_me","","","SunExp_sunexp_cardpack_more_dimensions"
"heart_change","3","1","Burnout","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""heart_change"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""heart_change"");","","Mods/SunExp/ModResource/Images/Card/MoreDimension/xin_bian","","","SunExp_sunexp_cardpack_more_dimensions"
"*projection_role_template","3","0","Burnout,Nihility","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""*projection_role_template"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""*projection_role_template"");","","Mods/SunExp/ModResource/Images/Card/MoreDimension/help_me","","",""
"spirit_ball","3","1","Retain,Annihilation","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""spirit_ball"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""spirit_ball"");","","Mods/SunExp/ModResource/Images/Card/MoreDimension/spirit_ball","","","SunExp_sunexp_cardpack_more_dimensions"
"*spirit_card_template","3","0","Retain,Burnout","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""*spirit_card_template"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""*spirit_card_template"");","","Mods/SunExp/ModResource/Images/Card/MoreDimension/spirit_ball","","",""
"*stellar_overture_start","3","0","Burnout,Nihility","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""*stellar_overture_start"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""*stellar_overture_start"");","","Mods/SunExp/ModResource/Images/Card/Loneer/stellar_overture_start","","",""
"*stellar_overture_sustain","3","0","Burnout,Nihility","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""*stellar_overture_sustain"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""*stellar_overture_sustain"");","","Mods/SunExp/ModResource/Images/Card/Loneer/stellar_overture_sustain","","",""
"*stellar_overture_turn","3","0","Burnout,Nihility","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""*stellar_overture_turn"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""*stellar_overture_turn"");","","Mods/SunExp/ModResource/Images/Card/Loneer/stellar_overture_turn","","Attack",""
"*stellar_overture_close","3","0","Burnout,Nihility","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""*stellar_overture_close"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""*stellar_overture_close"");","","Mods/SunExp/ModResource/Images/Card/Loneer/stellar_overture_close","","Attack",""
"*witch_star_score","3","0","Burnout,Retain","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""*witch_star_score"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""*witch_star_score"");","","Mods/SunExp/ModResource/Images/Card/Loneer/魔女的星谱","","",""
