"Id","Rarity","Expend","Tag","InitScript","DrawScript","UseScript","DropScript","Icon","Effects","Action","PackBelong"
"唯一标识","稀有度","花费","标签","更新显示信息用的","卡牌抽到后执行","卡牌使用后执行","卡牌进入弃牌堆后执行","图标资源的路径","特效路径","动作","所属卡包"
"scorching_flow_reclaim","2","1","","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""scorching_flow_reclaim"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""scorching_flow_reclaim"");","","Mods/Terrias/ModResource/Images/Card/Terrias/scorching_flow_reclaim","","Attack","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"impurity_purge","2","1","白曜","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""impurity_purge"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""impurity_purge"");","","Mods/Terrias/ModResource/Images/Card/Terrias/impurity_purge","","","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"flamewheel_recurrence","3","1","白曜,阳炣","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""flamewheel_recurrence"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""flamewheel_recurrence"");","","Mods/Terrias/ModResource/Images/Card/Terrias/flamewheel_recurrence","","Skill","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"eclipse_hex","2","2","","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""eclipse_hex"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""eclipse_hex"");","","Mods/Terrias/ModResource/Images/Card/Terrias/eclipse_hex","","Attack","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"solar_scorching_light","2","1","阳炣","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""solar_scorching_light"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""solar_scorching_light"");","","Mods/Terrias/ModResource/Images/Card/Terrias/solar_scorching_light","","","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"burning_calamity","2","1","","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""burning_calamity"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""burning_calamity"");","","Mods/Terrias/ModResource/Images/Card/Terrias/burning_calamity","","Attack","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"burning_crown_oath","2","1","白曜","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""burning_crown_oath"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""burning_crown_oath"");","","Mods/Terrias/ModResource/Images/Card/Terrias/burning_crown_oath","","","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"morning_light_bulwark","1","1","白曜","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""morning_light_bulwark"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""morning_light_bulwark"");","","Mods/Terrias/ModResource/Images/Card/Terrias/morning_light_bulwark","","","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"solar_return","2","0","白曜","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""solar_return"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""solar_return"");","","Mods/Terrias/ModResource/Images/Card/Terrias/solar_return","","","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"solar_origin_core","2","0","白曜","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""solar_origin_core"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""solar_origin_core"");","","Mods/Terrias/ModResource/Images/Card/Terrias/solar_origin_core","","","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"ember_tower","1","1","白曜","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""ember_tower"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""ember_tower"");","","Mods/Terrias/ModResource/Images/Card/Terrias/ember_tower","","","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"gathered_flame_shield","2","1","","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""gathered_flame_shield"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""gathered_flame_shield"");","","Mods/Terrias/ModResource/Images/Card/Terrias/gathered_flame_shield","","","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"*gathered_flame_cycle","2","2","Burnout","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""*gathered_flame_cycle"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""*gathered_flame_cycle"");","","Mods/Terrias/ModResource/Images/Card/Terrias/gathered_flame_cycle","","","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"solar_eclipse","1","1","","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""solar_eclipse"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""solar_eclipse"");","","Mods/Terrias/ModResource/Images/Card/Terrias/solar_eclipse","","","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"smoke_erosion","1","1","","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""smoke_erosion"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""smoke_erosion"");","","Mods/Terrias/ModResource/Images/Card/Terrias/smoke_erosion","","Attack","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"afterglow_omen_card","3","5","Retain,白曜,Annihilation","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""afterglow_omen_card"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""afterglow_omen_card"");","","Mods/Terrias/ModResource/Images/Card/Terrias/afterglow_omen_card","","Attack","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"star_map","3","0","Burnout","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""star_map"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""star_map"");","","Mods/Terrias/ModResource/Images/Card/MorningStar/star_map","","","Terrias_terrias_cardpack_morning_star_overture"
"blank_star_score","1","1","","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""blank_star_score"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""blank_star_score"");","","Mods/Terrias/ModResource/Images/Card/MorningStar/blank_star_score","","","Terrias_terrias_cardpack_morning_star_overture"
"meter_rewrite","1","1","","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""meter_rewrite"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""meter_rewrite"");","","Mods/Terrias/ModResource/Images/Card/MorningStar/meter_rewrite","","","Terrias_terrias_cardpack_morning_star_overture"
"prewritten_measure","2","1","","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""prewritten_measure"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""prewritten_measure"");","","Mods/Terrias/ModResource/Images/Card/MorningStar/prewritten_measure","","","Terrias_terrias_cardpack_morning_star_overture"
"star_orbit_transpose","2","1","","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""star_orbit_transpose"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""star_orbit_transpose"");","","Mods/Terrias/ModResource/Images/Card/MorningStar/star_orbit_transpose","","","Terrias_terrias_cardpack_morning_star_overture"
"rest_mark","2","0","Burnout","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""rest_mark"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""rest_mark"");","","Mods/Terrias/ModResource/Images/Card/MorningStar/rest_mark","","","Terrias_terrias_cardpack_morning_star_overture"
"morning_star_stage","3","2","Burnout","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""morning_star_stage"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""morning_star_stage"");","","Mods/Terrias/ModResource/Images/Card/MorningStar/morning_star_stage","","","Terrias_terrias_cardpack_morning_star_overture"
"star_score_echo","3","2","Burnout","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""star_score_echo"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""star_score_echo"");","","Mods/Terrias/ModResource/Images/Card/MorningStar/star_score_echo","","","Terrias_terrias_cardpack_morning_star_overture"
"polymorph","3","1","Burnout","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""polymorph"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""polymorph"");","","Mods/Terrias/ModResource/Images/Card/MoreDimension/bai_bian","","","Terrias_terrias_cardpack_more_dimensions"
"*polymorph_role_template","3","0","Burnout,Nihility","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""*polymorph_role_template"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""*polymorph_role_template"");","","Mods/Terrias/ModResource/Images/Card/MoreDimension/bai_bian","","",""
"witch_projection","3","1","Burnout","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""witch_projection"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""witch_projection"");","","Mods/Terrias/ModResource/Images/Card/MoreDimension/help_me","","","Terrias_terrias_cardpack_more_dimensions"
"heart_change","3","1","Burnout","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""heart_change"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""heart_change"");","","Mods/Terrias/ModResource/Images/Card/MoreDimension/xin_bian","","","Terrias_terrias_cardpack_more_dimensions"
"*projection_role_template","3","0","Burnout,Nihility","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""*projection_role_template"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""*projection_role_template"");","","Mods/Terrias/ModResource/Images/Card/MoreDimension/help_me","","",""
"spirit_ball","3","1","Retain,Annihilation","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""spirit_ball"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""spirit_ball"");","","Mods/Terrias/ModResource/Images/Card/MoreDimension/spirit_ball","","","Terrias_terrias_cardpack_more_dimensions"
"*spirit_card_template","3","0","Retain,Burnout","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""*spirit_card_template"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""*spirit_card_template"");","","Mods/Terrias/ModResource/Images/Card/MoreDimension/spirit_ball","","",""
"*stellar_overture_start","3","0","Burnout,Nihility","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""*stellar_overture_start"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""*stellar_overture_start"");","","Mods/Terrias/ModResource/Images/Card/Loneer/stellar_overture_start","","",""
"*stellar_overture_sustain","3","0","Burnout,Nihility","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""*stellar_overture_sustain"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""*stellar_overture_sustain"");","","Mods/Terrias/ModResource/Images/Card/Loneer/stellar_overture_sustain","","",""
"*stellar_overture_turn","3","0","Burnout,Nihility","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""*stellar_overture_turn"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""*stellar_overture_turn"");","","Mods/Terrias/ModResource/Images/Card/Loneer/stellar_overture_turn","","Attack",""
"*stellar_overture_close","3","0","Burnout,Nihility","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""*stellar_overture_close"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""*stellar_overture_close"");","","Mods/Terrias/ModResource/Images/Card/Loneer/stellar_overture_close","","Attack",""
"*witch_star_score","3","0","Burnout,Retain","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""*witch_star_score"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""*witch_star_score"");","","Mods/Terrias/ModResource/Images/Card/Loneer/魔女的星谱","","",""
"*lucky_jackpot_b","3","0","Burnout","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""*lucky_jackpot_b"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""*lucky_jackpot_b"");","","Icon/Card/黄金时代","","",""
"fate_star","3","1","Retain,Annihilation","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""fate_star"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""fate_star"");","","Mods/Terrias/ModResource/Images/Card/MoreDimension/fate_star","","","Terrias_terrias_cardpack_more_dimensions"
