"kind","pool","id","displayName","type","cost","cooldown","effectKind","description"
"Passive","Species","spirit.passive.species.base-game-demon-king-sword.inherent","魔王剑·受击构型","Attack","","","species.first-hit-ward","每受到4次伤害，获得4+护甲×55%点护盾。"
"Passive","Species","spirit.passive.species.base-game-demon-king.inherent","魔王·咒痕追猎","Attack","","","species.debuff-hunter","直接数值意图命中带有负面状态的目标时提高25%。"
"Passive","Species","spirit.passive.species.base-game-10035.inherent","K·蚀咒回流","Interference","","","species.interference-feedback","每完成2次干扰意图，恢复3点魔能，并使下一次直接数值意图提高15%。"
"Passive","Species","spirit.passive.species.terrias-boss-orbit-mirror-array.inherent","terrias.boss_orbit_mirror_array·战意累进","Defense","","","species.momentum","每完成一次非等待意图获得1层战意，最多2层；每层使直接数值意图提高8%。"
"Passive","Species","spirit.passive.species.base-game-10059.inherent","混血龙裔·护主契约","Defense","","","species.owner-guard","主人受到伤害后，下一次防御类型的直接数值意图提高30%。"
"Passive","Species","spirit.passive.species.base-game-10042.inherent","吞金兽·魔能均衡","Attack","","","species.mana-balance","魔能为0时行动前恢复1点；魔能全满时直接数值意图提高30%。"
"Passive","Species","spirit.passive.species.base-game-10005.inherent","猎食者·蓄势待发","Attack","","","species.waiting-drive","被迫等待时额外恢复1点魔能；累计等待2次后，下一次直接数值意图提高10%。"
"Passive","Species","spirit.passive.species.base-game-10018.inherent","惊喜礼物盒·蓄势待发","Attack","","","species.waiting-drive","被迫等待时额外恢复1点魔能；累计等待4次后，下一次直接数值意图提高30%。"
"Passive","Species","spirit.passive.species.base-game-10044.inherent","操偶师·咒痕追猎","Attack","","","species.debuff-hunter","直接数值意图命中带有负面状态的目标时提高15%。"
"Passive","Species","spirit.passive.species.base-game-10014.inherent","幽怨之心·战意累进","Attack","","","species.momentum","每完成一次非等待意图获得1层战意，最多2层；每层使直接数值意图提高7%。"
"Passive","Species","spirit.passive.species.base-game-10007.inherent","失心魔女·蓄势待发","Attack","","","species.waiting-drive","被迫等待时额外恢复1点魔能；累计等待2次后，下一次直接数值意图提高15%。"
"Passive","Species","spirit.passive.species.base-game-10023.inherent","普拉提壮壮·受击构型","Attack","","","species.first-hit-ward","每受到2次伤害，获得3+护甲×35%点护盾。"
"Passive","Species","spirit.passive.species.base-game-evernight-incarnation.inherent","永夜化身·异式连携","Attack","","","species.alternating-drive","连续2次使用不同类型意图后，下一次直接数值意图提高25%。"
"Passive","Species","spirit.passive.species.base-game-10039.inherent","黑桃骑士·咒痕追猎","Attack","","","species.debuff-hunter","直接数值意图命中带有负面状态的目标时提高20%。"
"Passive","Species","spirit.passive.species.base-game-10022.inherent","普拉提之王·异式连携","Attack","","","species.alternating-drive","连续3次使用不同类型意图后，下一次直接数值意图提高20%。"
"Passive","Species","spirit.passive.species.base-game-10061.inherent","欲念魔女·魔能均衡","Attack","","","species.mana-balance","魔能为0时行动前恢复1点；魔能全满时直接数值意图提高15%。"
"Passive","Species","spirit.passive.species.base-game-10019.inherent","莉莉·咒痕追猎","Attack","","","species.debuff-hunter","直接数值意图命中带有负面状态的目标时提高25%。"
"Passive","Species","spirit.passive.species.base-game-10020.inherent","守夜人·蚀咒回流","Interference","","","species.interference-feedback","每完成3次干扰意图，恢复1点魔能，并使下一次直接数值意图提高30%。"
"Passive","Species","spirit.passive.species.base-game-10041.inherent","天眷者·受击构型","Attack","","","species.first-hit-ward","每受到2次伤害，获得3+护甲×75%点护盾。"
"Passive","Species","spirit.passive.species.base-game-caroline.inherent","勇者卡洛琳·逆境驱动","Attack","","","species.low-health-drive","生命不高于30%时，直接数值意图提高10%。"
"Passive","Species","spirit.passive.species.base-game-10026.inherent","恶意聚合体·护势循环","Attack","","","species.guard-cycle","行动规划前若没有护盾且循环就绪，获得2+护甲×75%点护盾；冷却3个自身回合。"
"Passive","Species","spirit.passive.species.base-game-10003.inherent","鼹鼠·蓄势待发","Attack","","","species.waiting-drive","被迫等待时额外恢复1点魔能；累计等待3次后，下一次直接数值意图提高25%。"
"Passive","Species","spirit.passive.species.base-game-10038.inherent","灾厄祭司·魔能均衡","Attack","","","species.mana-balance","魔能为0时行动前恢复1点；魔能全满时直接数值意图提高20%。"
"Passive","Species","spirit.passive.species.base-game-10009.inherent","梅花侍从·战意累进","Attack","","","species.momentum","每完成一次非等待意图获得1层战意，最多3层；每层使直接数值意图提高5%。"
"Passive","Species","spirit.passive.species.base-game-10028.inherent","方片舞者·魔能均衡","Attack","","","species.mana-balance","魔能为0时行动前恢复1点；魔能全满时直接数值意图提高20%。"
"Passive","Species","spirit.passive.species.base-game-10054.inherent","使魔猫猫·回响节拍","Attack","","","species.rhythm","每完成3次非等待意图，下一次直接数值意图提高20%。"
"Passive","Species","spirit.passive.species.base-game-10010.inherent","深渊之触·护势循环","Attack","","","species.guard-cycle","行动规划前若没有护盾且循环就绪，获得3+护甲×75%点护盾；冷却3个自身回合。"
"Passive","Species","spirit.passive.species.base-game-10060.inherent","鬼牌：大王·蚀咒回流","Interference","","","species.interference-feedback","每完成4次干扰意图，恢复3点魔能，并使下一次直接数值意图提高25%。"
"Passive","Species","spirit.passive.species.base-game-10029.inherent","暴怒残片·回响节拍","Attack","","","species.rhythm","每完成2次非等待意图，下一次直接数值意图提高15%。"
"Passive","Species","spirit.passive.species.base-game-10055.inherent","神圣审判机关·魔能均衡","Attack","","","species.mana-balance","魔能为0时行动前恢复1点；魔能全满时直接数值意图提高15%。"
"Passive","Species","spirit.passive.species.terrias-boss-saint-wuna.inherent","terrias.boss_saint_wuna·异式连携","Attack","","","species.alternating-drive","连续4次使用不同类型意图后，下一次直接数值意图提高15%。"
"Passive","Species","spirit.passive.species.base-game-10040.inherent","魔女教教徒·魔能均衡","Attack","","","species.mana-balance","魔能为0时行动前恢复1点；魔能全满时直接数值意图提高20%。"
"Passive","Species","spirit.passive.species.base-game-10024.inherent","腐化圣骑·蚀咒回流","Interference","","","species.interference-feedback","每完成3次干扰意图，恢复1点魔能，并使下一次直接数值意图提高10%。"
"Passive","Species","spirit.passive.species.base-game-10008.inherent","最后一餐·持盾共鸣","Attack","","","species.shielded-drive","自身拥有护盾时，直接数值意图提高25%。"
"Passive","Species","spirit.passive.species.base-game-10017.inherent","圣械协从·蚀咒回流","Interference","","","species.interference-feedback","每完成4次干扰意图，恢复2点魔能，并使下一次直接数值意图提高10%。"
"Passive","Species","spirit.passive.species.base-game-10004.inherent","灾厄先兆·蓄势待发","Attack","","","species.waiting-drive","被迫等待时额外恢复1点魔能；累计等待2次后，下一次直接数值意图提高20%。"
"Passive","Species","spirit.passive.species.base-game-10032.inherent","魔将 帕梅拉·咒痕追猎","Attack","","","species.debuff-hunter","直接数值意图命中带有负面状态的目标时提高25%。"
"Passive","Species","spirit.passive.species.base-game-10046.inherent","恐惧残片·护势循环","Attack","","","species.guard-cycle","行动规划前若没有护盾且循环就绪，获得1+护甲×35%点护盾；冷却3个自身回合。"
"Passive","Species","spirit.passive.species.base-game-10033.inherent","熔火圣骸·护主契约","Defense","","","species.owner-guard","主人受到伤害后，下一次防御类型的直接数值意图提高10%。"
"Passive","Species","spirit.passive.species.terrias-boss-second-sun-last-day.inherent","terrias.boss_second_sun_last_day·蚀咒回流","Interference","","","species.interference-feedback","每完成3次干扰意图，恢复1点魔能，并使下一次直接数值意图提高15%。"
"Passive","Species","spirit.passive.species.base-game-10001.inherent","普拉提黏黏·蚀咒回流","Interference","","","species.interference-feedback","每完成3次干扰意图，恢复4点魔能，并使下一次直接数值意图提高15%。"
"Passive","Species","spirit.passive.species.base-game-10043.inherent","活性晶簇·战意累进","Attack","","","species.momentum","每完成一次非等待意图获得1层战意，最多5层；每层使直接数值意图提高4%。"
"Passive","Species","spirit.passive.species.base-game-lesser-joker.inherent","鬼牌:小王·咒痕追猎","Attack","","","species.debuff-hunter","直接数值意图命中带有负面状态的目标时提高15%。"
"Passive","Species","spirit.passive.species.base-game-10015.inherent","腐化巨蜥·护主契约","Defense","","","species.owner-guard","主人受到伤害后，下一次防御类型的直接数值意图提高10%。"
"Passive","Species","spirit.passive.species.base-game-10045.inherent","巨大玩偶熊·护势循环","Attack","","","species.guard-cycle","行动规划前若没有护盾且循环就绪，获得1+护甲×65%点护盾；冷却4个自身回合。"
"Passive","Species","spirit.passive.species.base-game-10002.inherent","红心女仆·蚀咒回流","Interference","","","species.interference-feedback","每完成3次干扰意图，恢复1点魔能，并使下一次直接数值意图提高30%。"
"Passive","Species","spirit.passive.species.base-game-10025.inherent","腐化蛛人·护势循环","Attack","","","species.guard-cycle","行动规划前若没有护盾且循环就绪，获得4+护甲×65%点护盾；冷却3个自身回合。"
