profileId,enemyId,variantId,displayName,tier,baseMagic,baseSpirit,baseLuck,basePerception,growthMagic,growthSpirit,growthLuck,growthPerception,sourceRarity,sourceHp,sourceAttack,sourceArmor,sourceActions,generationMode
base-game.10024,10024,*,腐化圣骑,Elite,10,10,9,6,24,19,24,13,2,144,10,4,2,rule-v1
base-game.10035,10035,*,K,Elite,8,10,9,9,21,20,23,19,2,160,10,7,2,rule-v1
base-game.10036,10036,*,鬼牌:小王,Elite,9,10,8,9,20,21,20,19,2,149,10,6,2,rule-v1
base-game.10037,10037,*,鬼牌:小王,Elite,13,8,7,8,28,17,16,18,2,132,13,6,2,rule-v1
base-game.10044,10044,*,操偶师,Elite,6,8,8,12,14,19,20,25,2,120,6,7,2,rule-v1
base-game.10045,10045,*,巨大玩偶熊,Elite,10,10,9,9,24,20,22,18,2,300,11,7,2,rule-v1
base-game.10049,10049,*,魔王剑,Elite,8,11,6,12,20,23,13,23,2,300,10,8,2,rule-v1
base-game.10050,10050,*,魔王剑,Elite,12,12,6,8,26,23,13,17,2,320,12,6,2,rule-v1
base-game.10007,10007,*,失心魔女,Boss,10,9,12,13,23,20,29,29,3,166,8,7,3,manual-boss-review-v1
base-game.10015,10015,*,腐化巨蜥,Boss,14,8,13,9,32,17,29,21,3,110,10,7,2,manual-boss-review-v1
base-game.10020,10020,*,守夜人,Boss,8,13,15,6,18,27,39,14,3,198,5,0,2,manual-boss-review-v1
base-game.10022,10022,*,普拉提之王,Boss,9,14,12,8,23,31,27,16,3,240,5,5,2,manual-boss-review-v1
base-game.10029,10029,*,暴怒残片,Boss,16,12,8,7,36,27,17,15,3,130,11,4,2,manual-boss-review-v1
base-game.10032,10032,*,魔将 帕梅拉,Boss,14,14,11,9,32,31,26,19,3,900,12,8,2,manual-boss-review-v1
base-game.10033,10033,*,熔火圣骸,Boss,12,10,12,9,28,22,29,18,3,160,6,5,2,manual-boss-review-v1
base-game.10046,10046,*,恐惧残片,Boss,8,14,7,14,18,31,15,29,3,134,6,6,2,manual-boss-review-v1
base-game.10047,10047,*,怠惰残片,Boss,11,9,16,7,24,21,41,15,3,115,8,4,3,manual-boss-review-v1
base-game.10053,10053,*,永夜化身,Boss,10,7,14,9,23,13,35,19,3,60,5,5,2,manual-boss-review-v1
base-game.10056,10056,*,勇者卡洛琳,Boss,13,10,7,14,29,21,15,29,3,240,7,6,2,manual-boss-review-v1
base-game.10057,10057,*,勇者卡洛琳,Boss,14,11,7,14,31,25,16,29,3,460,9,9,2,manual-boss-review-v1
base-game.10059,10059,*,混血龙裔,Boss,13,15,6,12,29,34,14,23,3,450,10,10,2,manual-boss-review-v1
base-game.10060,10060,*,鬼牌：大王,Boss,10,10,16,10,23,21,36,19,3,400,9,10,2,manual-boss-review-v1
base-game.10061,10061,*,欲念魔女,Boss,14,13,11,9,31,28,25,17,3,600,11,10,3,manual-boss-review-v1
base-game.10027,10027,*,永夜化身,FinalBoss,11,15,16,12,25,36,39,26,3,640,10,10,3,manual-boss-review-v1
base-game.10048,10048,*,魔王,FinalBoss,12,15,11,14,26,34,24,32,3,950,12,10,3,manual-boss-review-v1
base-game.10051,10051,*,魔王,FinalBoss,15,15,12,13,34,33,27,28,3,950,12,10,3,manual-boss-review-v1
base-game.10052,10052,*,魔王,FinalBoss,18,14,15,11,41,31,34,22,3,950,12,10,3,manual-boss-review-v1
base-game.10055,10055,*,神圣审判机关,FinalBoss,8,17,18,12,18,39,42,25,3,860,7,0,2,manual-boss-review-v1
base-game.10058,10058,*,勇者卡洛琳,FinalBoss,17,14,12,15,38,31,27,34,3,896,12,12,3,manual-boss-review-v1
